Species,Methylation,Regen_Ability
Acropora_cervicornis,11.4,4
Acropora_millepora,19.6,4
Acropora_palmata,14,4
Acyrthosiphon_pisum,3,2
Adineta_vaga,0,1
Aedes_aegypti,0.1,2
Aedes_albopictus,0.1,2
Aedes_atropalpus,0,2
Alitta_succinea,80.8,3
Amphimedon_queenslandica,81,4
Anastrepha_suspensa,0,2
Anopheles_gambiae,0.1,2
Anthopleura_elegantissima,0.1,4
Aphidius_ervi,0,2
Aphis_craccivora,0,2
Aphis_glycines,4.1,2
Apis_cerana,1.3,2
Apis_mellifera,1.5,2
Aplysia_californica,18,2
Apostichopus_japonicus,14.2,4
Apostichopus_parvimensis,41.8,4
Armadillidium_vulgare,0.5,2
Ascidiella_aspersa,18.8,3
Azumapecten_farreri,21.3,2
Biomphalaria_glabrata,21,2
Blaptica_dubia,9.6,2
Blattella_asahinai,14.2,2
Blattella_germanica,12.7,2
Boltenia_echinata,27.8,3
Boltenia_ovifera,23.2,3
Bombus_terrestris,0.3,2
Bombus_vosnesenskii,1.1,2
Bombyx_mori,0.8,2
Botryllus_schlosseri,40.5,4
Brachionus_koreanus,0,1
Branchiostoma_floridae,28.2,2
Branchiostoma_lanceolatum,20,2
Brugia_malayi,0,1
Bursaphelenchus_xylophilus,0,1
Caenorhabditis_briggsae,1,1
Caenorhabditis_elegans,0,1
Camponotus_floridanus,0.6,2
Capitella_teleta,15,3
Cerastoderma_edule,24.1,2
Ceratina_calcarata,5.8,2
Ceratonova_shasta,0,1
Chrysodeixis_includens,0,2
Ciona_intestinalis,27.5,3
Ciona_savignyi,27.2,3
Clavelina_picta,33.6,4
Copidosoma_floridanum,0.3,2
Crassostrea_virginica,22,2
Cryptocercus_garciai,10.5,2
Cucumaria_frondosa,34.1,4
Culex_quinquefasciatus,0.1,2
Daphnia_magna,1,2
Daphnia_pulex,0.2,2
Diaphorina_citri,0.3,2
Dimorphilus_gyrociliatus,0,1
Doryteuthis_pealeii,15.6,2
Drosophila_melanogaster,0.1,2
Echinarachnius_parma,41,2
Ecteinascidia_turbinata,19.8,3
Ephydatia_muelleri,37,4
